OBJECTID,Name,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Housing,Occupied,Vacant,Shape__Area,Shape__Length
206,Park Circle,2428,138,2175,9,6,3,29,68,51,1396,1108,288,8647622.27227783,14103.0242121422
207,Parklane,1796,78,1657,8,2,0,12,39,44,810,686,124,3452511.22338867,8235.91882408133
208,Patterson Park,19,6,0,0,0,0,1,12,7,1,1,0,6310100.39752197,10777.3066788203
209,Patterson Place,1171,496,334,8,72,0,161,100,234,538,465,73,1059435.21368408,4249.18555849705
210,Pen Lucy,2741,186,2372,8,17,0,25,133,50,1516,1340,176,4787084.35015869,9281.78191632171
211,Penn North,1613,50,1486,1,9,0,14,53,37,1043,712,331,3769467.21429443,8972.28330727826
212,Penrose/Fayette Street Outreach,2514,39,2367,4,9,0,21,74,40,1408,971,437,10378375.2883301,18043.7627295423
213,Perkins,858,28,773,3,9,0,18,27,33,621,347,274,1038722.55310059,4081.63808240882
214,Perring Loch,2752,81,2572,0,13,2,11,73,26,1162,1090,72,6093945.97259521,10665.0393680505
215,Poppleton,2910,70,2664,6,4,1,36,129,48,1584,1275,309,5080538.79498291,9331.79863383038
216,Pulaski Industrial Area,171,32,40,9,13,0,35,42,83,34,29,5,55014324.8023682,64183.5193431774
217,Radnor-Winston,552,275,200,4,14,1,5,53,27,245,223,22,2079220.91845703,6230.45893239606
218,Ramblewood,1670,53,1512,5,26,0,27,47,35,707,663,44,4368862.45227051,8689.02983568422
219,Remington,2678,1595,319,9,450,0,153,152,246,1386,1255,131,6840397.50408936,12683.7413306733
220,Reservoir Hill,5263,676,4162,22,54,3,67,279,139,3336,2791,545,8493605.48406982,13875.5494395576
221,Richnor Springs,652,15,576,1,1,0,24,35,25,295,242,53,933722.502319336,4383.76174015421
222,Ridgely's Delight,817,496,140,1,88,0,22,70,55,489,414,75,1369035.66784668,5157.70695690143
223,Rognel Heights,1535,23,1453,2,1,0,10,46,35,703,622,81,4736549.40533447,8705.37730579002
224,Roland Park,4329,3345,367,8,239,1,44,325,196,1932,1787,145,26694668.0339355,34803.6412553661
225,Rosebank,403,190,153,0,10,0,12,38,26,244,233,11,1844597.15509033,7013.68201542489
226,Saint Paul,122,46,20,2,1,0,26,27,38,38,22,16,2620286.13323975,7942.54848671021
227,Sandtown-Winchester,6162,128,5741,9,27,4,65,188,109,3176,2438,738,11332398.703125,14215.8061200786
228,Seton Business Park,172,23,146,0,0,0,0,3,2,2,2,0,10898048.147583,16332.3073083621
229,Seton Hill,1129,203,813,1,17,1,11,83,38,713,636,77,2077779.83581543,6754.40898111902
230,Sharp-Leadenhall,1260,569,569,2,48,0,18,54,45,695,605,90,1924411.16949463,5666.50568877817
231,Shipley Hill,1404,45,1275,8,3,2,26,45,44,844,601,243,5000414.98352051,11586.4046292188
232,South Clifton Park,567,20,510,1,0,0,8,28,12,339,225,114,2627229.85070801,9640.35674915749
233,Ten Hills,1280,401,755,8,10,0,17,89,27,696,679,17,9288997.58355713,14037.7497482673
234,The Orchards,566,425,66,0,30,0,4,41,22,197,186,11,5893420.18145752,12767.0337048834
235,Towanda-Grantley,988,44,866,5,2,1,23,47,40,535,386,149,3917556.12261963,9536.52265364332
236,Tremont,1132,111,964,0,4,0,17,36,28,493,437,56,1121936.14508057,4556.59430194558
237,Tuscany-Canterbury,4304,2244,193,2,1503,0,70,292,190,2778,2572,206,4060542.6751709,9293.52790478144
238,Union Square,1011,256,634,7,6,2,26,80,57,597,446,151,1848251.25714111,5897.72777145388
239,Uplands,1339,51,1162,9,24,0,14,79,33,621,556,65,5605047.67944336,10028.4261837579
240,Upper Fells Point,3959,2756,175,19,227,0,371,411,720,2193,1857,336,3544658.89141846,8692.28904881678
241,Villages of Homeland,487,303,111,2,51,0,2,18,27,332,305,27,873857.937072754,3701.6391250912
242,Violetville,2403,1535,533,10,62,1,78,184,155,1127,1039,88,16518678.1948853,17867.3371843518
243,Walbrook,2244,39,2087,8,9,0,16,85,26,1135,911,224,5566722.69091797,11197.5837107747
244,Waltherson,6181,1328,4295,30,80,1,149,298,245,2753,2477,276,20605512.5392456,22359.465907825
245,Washington Hill,2364,752,965,20,239,2,189,197,361,1335,1184,151,4382482.09851074,10185.2093199777
246,Washington Village/Pigtown,4823,1452,2591,19,303,2,130,326,276,2744,2231,513,9103214.33099365,16899.0940507064
247,Waverly,2383,501,1680,5,32,1,45,119,93,1233,1038,195,4328907.01690674,8547.81906247361
248,West Arlington,1773,73,1536,10,13,1,53,87,92,836,688,148,7599062.91418457,11606.8080072985
249,West Forest Park,2156,63,1978,4,7,0,30,74,54,1108,938,170,10308533.6591797,20335.2163150903
250,Westfield,3111,1160,1572,18,29,3,98,231,174,1351,1248,103,11958387.442749,14412.8510204146
251,Westgate,2647,649,1726,5,51,2,72,142,157,1186,1110,76,9275797.14019775,18857.337242841
252,Westport,1287,97,1099,8,8,0,23,52,27,639,471,168,14476549.9337158,23997.3123532598
253,Winchester,1144,17,1081,1,0,0,5,40,18,576,395,181,2257710.19891357,8733.56847700203
254,Windsor Hills,1498,76,1330,1,13,0,25,53,20,720,621,99,6529974.28399658,11150.2318667248
255,Winston-Govans,1268,67,1159,0,0,0,10,32,35,542,426,116,3154658.88214111,7380.58631879692
256,Woodberry,1253,868,222,10,32,2,34,85,66,733,606,127,14913021.0961304,18282.936524197
257,Woodbourne-McCabe,813,15,748,1,0,0,20,29,38,371,312,59,2094037.5256958,6195.15266615378
258,Woodmere,1836,35,1671,16,7,0,35,72,67,856,723,133,7202672.91998291,11831.7690887881
259,Wyman Park,1120,893,29,0,88,0,15,95,44,584,536,48,3073352.50402832,9834.30855991518
260,Yale Heights,2527,151,2198,7,45,0,23,103,71,1141,1055,86,5264130.09423828,10713.0878078693
261,Wilhelm Park,634,217,288,5,17,0,59,48,76,290,251,39,12430318.4550781,19044.4907941877
262,Downtown West,356,187,72,1,84,0,4,8,17,289,236,53,3058428.7477417,8317.72542991964
263,Belair-Edison,14680,783,13160,48,60,3,177,449,304,6417,5612,805,22813166.5145874,25163.8544229093
264,Four By Four,1156,35,1068,1,7,1,7,37,27,585,441,144,2156701.06134033,6609.73142383848
265,Charles Village,8749,4072,1479,31,2094,9,273,791,834,4421,3810,611,7341923.77813721,13995.0780410228
266,Old Goucher,672,186,359,3,45,1,44,34,60,404,355,49,1614209.9822998,5092.41541802349
267,Canton Industrial Area,108,36,3,1,2,0,43,23,61,22,21,1,66261574.8563843,74032.7824810332
268,Brewers Hill,2356,1806,122,9,174,0,108,137,174,1487,1329,158,5544350.06231689,10201.6911431121
269,Stadium/Entertainment Area,110,22,81,0,5,0,0,2,0,0,0,0,7184255.17877197,18462.0760448649
270,Fells Point,4703,3318,343,20,374,3,262,383,474,3339,2877,462,6930601.60864258,21120.8982843992
271,Inner Harbor,347,221,41,0,51,0,1,33,13,282,266,16,4046176.51672363,20758.1806674987
272,Reisterstown Station,1169,101,915,11,19,0,62,61,110,637,573,64,11496174.0959473,17278.5929576527
273,Baltimore Peninsula,28,13,8,0,1,0,1,5,6,8,7,1,11966286.9264526,23557.9977162834
274,Riverside,6566,5537,218,5,263,1,79,463,338,3787,3267,520,8858911.0291748,16598.8776705637
275,Spring Garden Industrial Area,0,0,0,0,0,0,0,0,0,0,0,0,3767654.81268311,9427.60557235611
276,Locust Point,3709,3124,137,8,167,2,47,224,177,2084,1893,191,5773541.0435791,13727.9080650214
277,Locust Point Industrial Area,96,63,8,1,7,0,0,17,9,34,21,13,20139850.3234863,60619.3658046032
278,Jones Falls Area,179,136,17,0,5,0,0,21,3,114,108,6,7768792.94500732,23742.2288611405
279,Gwynns Falls/Leakin Park,0,0,0,0,0,0,0,0,0,0,0,0,20764640.5725708,35581.6651597797
